Encoding,Dataset,Block Size,Time
TS_2DIFF+BOS-V,CS-Sensors,5,1226.06944
TS_2DIFF+BOS-V,CS-Sensors,6,2113.4432
TS_2DIFF+BOS-V,CS-Sensors,7,4627.83616
TS_2DIFF+BOS-V,CS-Sensors,8,14077.7216
TS_2DIFF+BOS-V,CS-Sensors,9,14963.38432
TS_2DIFF+BOS-V,CS-Sensors,10,28604.70272
TS_2DIFF+BOS-V,CS-Sensors,11,55704.76032
TS_2DIFF+BOS-V,CS-Sensors,12,246826.14784
TS_2DIFF+BOS-V,CS-Sensors,13,569728.77824
TS_2DIFF+BOS-L,CS-Sensors,5,1198.98656
TS_2DIFF+BOS-L,CS-Sensors,6,2158.08064
TS_2DIFF+BOS-L,CS-Sensors,7,3882.11328
TS_2DIFF+BOS-L,CS-Sensors,8,7327.34976
TS_2DIFF+BOS-L,CS-Sensors,9,16808.84224
TS_2DIFF+BOS-L,CS-Sensors,10,24511.39584
TS_2DIFF+BOS-L,CS-Sensors,11,47531.13088
TS_2DIFF+BOS-L,CS-Sensors,12,100941.66016
TS_2DIFF+BOS-L,CS-Sensors,13,289396.24448
TS_2DIFF+BOS-H,CS-Sensors,5,1151.4832
TS_2DIFF+BOS-H,CS-Sensors,6,1750.2016
TS_2DIFF+BOS-H,CS-Sensors,7,3378.68032
TS_2DIFF+BOS-H,CS-Sensors,8,5559.2576
TS_2DIFF+BOS-H,CS-Sensors,9,10447.91808
TS_2DIFF+BOS-H,CS-Sensors,10,19870.8224
TS_2DIFF+BOS-H,CS-Sensors,11,38080.1024
TS_2DIFF+BOS-H,CS-Sensors,12,235917.9264
TS_2DIFF+BOS-H,CS-Sensors,13,265225.50272
TS_2DIFF+BOS-V,Cyber-Vehicle,5,1012.8843956043954
TS_2DIFF+BOS-V,Cyber-Vehicle,6,1909.1762637362638
TS_2DIFF+BOS-V,Cyber-Vehicle,7,3590.0237362637367
TS_2DIFF+BOS-V,Cyber-Vehicle,8,6842.2189010989005
TS_2DIFF+BOS-V,Cyber-Vehicle,9,13482.155604395604
TS_2DIFF+BOS-V,Cyber-Vehicle,10,25824.07032967033
TS_2DIFF+BOS-V,Cyber-Vehicle,11,49218.616263736265
TS_2DIFF+BOS-V,Cyber-Vehicle,12,97662.25582417582
TS_2DIFF+BOS-V,Cyber-Vehicle,13,200179.62197802198
TS_2DIFF+BOS-L,Cyber-Vehicle,5,917.9885714285714
TS_2DIFF+BOS-L,Cyber-Vehicle,6,1608.2531868131869
TS_2DIFF+BOS-L,Cyber-Vehicle,7,2948.240879120879
TS_2DIFF+BOS-L,Cyber-Vehicle,8,5510.266373626373
TS_2DIFF+BOS-L,Cyber-Vehicle,9,11098.078241758241
TS_2DIFF+BOS-L,Cyber-Vehicle,10,21525.745934065933
TS_2DIFF+BOS-L,Cyber-Vehicle,11,42867.95956043956
TS_2DIFF+BOS-L,Cyber-Vehicle,12,84219.949010989
