Encoding,Dataset,Block Size,Time
TS_2DIFF+BOS-H,Cyber-Vehicle,7,55269.341538461544
TS_2DIFF+BOS-H,Cyber-Vehicle,8,77218.67252747252
TS_2DIFF+BOS-H,Cyber-Vehicle,9,135113.26945054944
TS_2DIFF+BOS-H,Cyber-Vehicle,10,279930.73934065935
TS_2DIFF+BOS-H,Cyber-Vehicle,11,624227.8118681319
TS_2DIFF+BOS-H,Cyber-Vehicle,12,1520305.7934065934
TS_2DIFF+BOS-H,Cyber-Vehicle,13,3803256.404395604
TS_2DIFF+BOS-V,TH-Climate,5,1259.231065838811
TS_2DIFF+BOS-V,TH-Climate,6,2658.750018975908
TS_2DIFF+BOS-V,TH-Climate,7,5704.349642493889
TS_2DIFF+BOS-V,TH-Climate,8,11405.530035067479
TS_2DIFF+BOS-V,TH-Climate,9,20894.209888725276
TS_2DIFF+BOS-V,TH-Climate,10,36512.95359251894
TS_2DIFF+BOS-V,TH-Climate,11,63955.595524721815
TS_2DIFF+BOS-V,TH-Climate,12,109242.75062620497
TS_2DIFF+BOS-V,TH-Climate,13,197644.17178510164
TS_2DIFF+BOS-L,TH-Climate,5,2969.317079835441
TS_2DIFF+BOS-L,TH-Climate,6,4419.8901522626875
TS_2DIFF+BOS-L,TH-Climate,7,7371.479058187725
TS_2DIFF+BOS-L,TH-Climate,8,13455.146721722102
TS_2DIFF+BOS-L,TH-Climate,9,24727.68484811683
TS_2DIFF+BOS-L,TH-Climate,10,47608.11865255871
TS_2DIFF+BOS-L,TH-Climate,11,90747.295675011
TS_2DIFF+BOS-L,TH-Climate,12,175855.3395776722
TS_2DIFF+BOS-L,TH-Climate,13,373531.7207353544
TS_2DIFF+BOS-H,TH-Climate,5,4355.973221198366
TS_2DIFF+BOS-H,TH-Climate,6,6665.381931899261
TS_2DIFF+BOS-H,TH-Climate,7,9911.023697114144
TS_2DIFF+BOS-H,TH-Climate,8,15762.442275287296
TS_2DIFF+BOS-H,TH-Climate,9,24489.763757533434
TS_2DIFF+BOS-H,TH-Climate,10,39145.37027310127
TS_2DIFF+BOS-H,TH-Climate,11,64164.894266239586
TS_2DIFF+BOS-H,TH-Climate,12,112117.68585004479
TS_2DIFF+BOS-H,TH-Climate,13,197954.88652406904
TS_2DIFF+BOS-V,TY-Fuel,5,9176.071046112318
TS_2DIFF+BOS-V,TY-Fuel,6,14813.743254002151
TS_2DIFF+BOS-V,TY-Fuel,7,26965.198913396325
TS_2DIFF+BOS-V,TY-Fuel,8,62334.929743213
TS_2DIFF+BOS-V,TY-Fuel,9,182144.75884573985
TS_2DIFF+BOS-V,TY-Fuel,10,548048.5089405614
TS_2DIFF+BOS-V,TY-Fuel,11,1727270.8835181356
TS_2DIFF+BOS-V,TY-Fuel,12,5329426.6164323175
TS_2DIFF+BOS-V,TY-Fuel,13,14937452.102496114
TS_2DIFF+BOS-L,TY-Fuel,5,5365.4225213989175
TS_2DIFF+BOS-L,TY-Fuel,6,7087.80771898652
TS_2DIFF+BOS-L,TY-Fuel,7,10283.15011190651
TS_2DIFF+BOS-L,TY-Fuel,8,16284.851446242163
TS_2DIFF+BOS-L,TY-Fuel,9,27758.843088278005
TS_2DIFF+BOS-L,TY-Fuel,10,50550.54001469307
TS_2DIFF+BOS-L,TY-Fuel,11,95365.92424527174
TS_2DIFF+BOS-L,TY-Fuel,12,184278.36189369735
TS_2DIFF+BOS-L,TY-Fuel,13,356737.99574242707
TS_2DIFF+BOS-H,TY-Fuel,5,48916.71233363517
TS_2DIFF+BOS-H,TY-Fuel,6,62780.33960807093
TS_2DIFF+BOS-H,TY-Fuel,7,79167.63019938153
TS_2DIFF+BOS-H,TY-Fuel,8,105052.79524354616
TS_2DIFF+BOS-H,TY-Fuel,9,163752.34653773214
TS_2DIFF+BOS-H,TY-Fuel,10,319139.64300627017
TS_2DIFF+BOS-H,TY-Fuel,11,778631.8040833062
TS_2DIFF+BOS-H,TY-Fuel,12,2057810.2737489534
TS_2DIFF+BOS-H,TY-Fuel,13,5361917.257658334
TS_2DIFF+BOS-V,TY-Transport,5,1940.7252295486808
TS_2DIFF+BOS-V,TY-Transport,6,4377.87661463423
TS_2DIFF+BOS-V,TY-Transport,7,10443.075874183833
TS_2DIFF+BOS-V,TY-Transport,8,25855.4072419978
TS_2DIFF+BOS-V,TY-Transport,9,61833.49784965082
TS_2DIFF+BOS-V,TY-Transport,10,132537.7844412694
TS_2DIFF+BOS-V,TY-Transport,11,231238.2495507847
TS_2DIFF+BOS-V,TY-Transport,12,353168.1399611898
TS_2DIFF+BOS-V,TY-Transport,13,505109.43116265733
TS_2DIFF+BOS-L,TY-Transport,5,3152.134998108889
TS_2DIFF+BOS-L,TY-Transport,6,4740.807999829476
TS_2DIFF+BOS-L,TY-Transport,7,7908.843337914184
TS_2DIFF+BOS-L,TY-Transport,8,13907.35973340995
TS_2DIFF+BOS-L,TY-Transport,9,25280.36524165946
TS_2DIFF+BOS-L,TY-Transport,10,47886.660450901385
TS_2DIFF+BOS-L,TY-Transport,11,91960.90908625795
TS_2DIFF+BOS-L,TY-Transport,12,178987.89311886503
TS_2DIFF+BOS-L,TY-Transport,13,354610.25309019774
TS_2DIFF+BOS-H,TY-Transport,5,6423.023331305556
TS_2DIFF+BOS-H,TY-Transport,6,9775.424914620342
TS_2DIFF+BOS-H,TY-Transport,7,15279.028231751674
TS_2DIFF+BOS-H,TY-Transport,8,25036.626065627952
TS_2DIFF+BOS-H,TY-Transport,9,45046.76351488537
TS_2DIFF+BOS-H,TY-Transport,10,78969.5639811857
TS_2DIFF+BOS-H,TY-Transport,11,126873.81784124265
TS_2DIFF+BOS-H,TY-Transport,12,195757.7820417636
TS_2DIFF+BOS-H,TY-Transport,13,306379.4114806445
TS_2DIFF+BOS-V,YZ-Electricity,5,3712.7250420500645
TS_2DIFF+BOS-V,YZ-Electricity,6,10621.441773028593
TS_2DIFF+BOS-V,YZ-Electricity,7,32789.64361333729
TS_2DIFF+BOS-V,YZ-Electricity,8,104144.7614524587
TS_2DIFF+BOS-V,YZ-Electricity,9,316835.7011971901
TS_2DIFF+BOS-V,YZ-Electricity,10,888051.9687345404
TS_2DIFF+BOS-V,YZ-Electricity,11,1427262.2839616109
TS_2DIFF+BOS-V,YZ-Electricity,12,2318843.3901256556
TS_2DIFF+BOS-V,YZ-Electricity,13,3684831.6295636687
TS_2DIFF+BOS-L,YZ-Electricity,5,5021.973681606807
TS_2DIFF+BOS-L,YZ-Electricity,6,6873.664588898783
TS_2DIFF+BOS-L,YZ-Electricity,7,10252.233897298902
TS_2DIFF+BOS-L,YZ-Electricity,8,19496.01978826556
TS_2DIFF+BOS-L,YZ-Electricity,9,28884.20619372712
TS_2DIFF+BOS-L,YZ-Electricity,10,50853.49955476403
TS_2DIFF+BOS-L,YZ-Electricity,11,94168.28415949341
TS_2DIFF+BOS-L,YZ-Electricity,12,183993.76273869595
TS_2DIFF+BOS-L,YZ-Electricity,13,358561.9028396161
TS_2DIFF+BOS-H,YZ-Electricity,5,10079.667557138617
TS_2DIFF+BOS-H,YZ-Electricity,6,15822.177896507372
TS_2DIFF+BOS-H,YZ-Electricity,7,28755.45898881963
TS_2DIFF+BOS-H,YZ-Electricity,8,63280.68229939646
TS_2DIFF+BOS-H,YZ-Electricity,9,145984.5382408232
TS_2DIFF+BOS-H,YZ-Electricity,10,323447.52745621843
TS_2DIFF+BOS-H,YZ-Electricity,11,586699.2144058574
TS_2DIFF+BOS-H,YZ-Electricity,12,942779.4851093302
TS_2DIFF+BOS-H,YZ-Electricity,13,1492193.0226575641
