Encoding,Dataset,Block Size,Compression Ratio
TS_2DIFF+BOS-H,CS-Sensors,13,3.7063461912659954
TS_2DIFF+BOS-V,Cyber-Vehicle,5,1.929115601192448
TS_2DIFF+BOS-V,Cyber-Vehicle,6,2.376056659812657
TS_2DIFF+BOS-V,Cyber-Vehicle,7,2.6490548186962135
TS_2DIFF+BOS-V,Cyber-Vehicle,8,2.8161931103847127
TS_2DIFF+BOS-V,Cyber-Vehicle,9,2.8945171166156416
TS_2DIFF+BOS-V,Cyber-Vehicle,10,2.9473087589320053
TS_2DIFF+BOS-V,Cyber-Vehicle,11,3.0143679350751524
TS_2DIFF+BOS-V,Cyber-Vehicle,12,3.059337703815768
TS_2DIFF+BOS-V,Cyber-Vehicle,13,3.0940541459475543
TS_2DIFF+BOS-L,Cyber-Vehicle,5,1.8228710218594286
TS_2DIFF+BOS-L,Cyber-Vehicle,6,2.2164375637454143
TS_2DIFF+BOS-L,Cyber-Vehicle,7,2.4142333648377523
TS_2DIFF+BOS-L,Cyber-Vehicle,8,2.5232656880924735
TS_2DIFF+BOS-L,Cyber-Vehicle,9,2.559639962730517
TS_2DIFF+BOS-L,Cyber-Vehicle,10,2.573529411764706
TS_2DIFF+BOS-L,Cyber-Vehicle,11,2.5712116128348668
TS_2DIFF+BOS-L,Cyber-Vehicle,12,2.555058348688252
TS_2DIFF+BOS-L,Cyber-Vehicle,13,2.5412339645693347
TS_2DIFF+BOS-H,Cyber-Vehicle,5,1.9324184429166777
TS_2DIFF+BOS-H,Cyber-Vehicle,6,2.376366900603884
TS_2DIFF+BOS-H,Cyber-Vehicle,7,2.64939224106558
TS_2DIFF+BOS-H,Cyber-Vehicle,8,2.8161931103847127
TS_2DIFF+BOS-H,Cyber-Vehicle,9,2.8945171166156416
TS_2DIFF+BOS-H,Cyber-Vehicle,10,2.9473087589320053
TS_2DIFF+BOS-H,Cyber-Vehicle,11,3.0143679350751524
TS_2DIFF+BOS-H,Cyber-Vehicle,12,3.059337703815768
TS_2DIFF+BOS-H,Cyber-Vehicle,13,3.0940541459475543
TS_2DIFF+BOS-V,TH-Climate,5,2.9089263141625405
TS_2DIFF+BOS-V,TH-Climate,6,4.135640572886013
TS_2DIFF+BOS-V,TH-Climate,7,5.40535217913081
TS_2DIFF+BOS-V,TH-Climate,8,6.35908822145262
TS_2DIFF+BOS-V,TH-Climate,9,6.849819325655758
TS_2DIFF+BOS-V,TH-Climate,10,7.038841694716036
TS_2DIFF+BOS-V,TH-Climate,11,7.085594428160381
