Encoding,Dataset,Compression Ratio
RLE+BWS,TY-Fuel,3.2418705378654864
SPRINTZ+BWS,TY-Fuel,3.1044917031980543
TS_2DIFF+BOS-P,TY-Fuel,3.1251701915221934
SPRINTZ+BOS-P,TY-Fuel,3.324576624984735
RLE+BOS-P,TY-Fuel,3.3272791870958573
BUFF,TY-Transport,4.442278978351364
CHIMP,TY-Transport,3.5488396967350195
GORILLA,TY-Transport,4.647056727268882
PLAIN,TY-Transport,3.0201842796037157
RLBE,TY-Transport,1.6565510922345823
RLE,TY-Transport,4.666961307950012
SPRINTZ,TY-Transport,4.176067295400091
TS_2DIFF,TY-Transport,4.067613282636079
TS_2DIFF+BOS-O,TY-Transport,4.835622653440909
Elf,TY-Transport,2.6577597382572784
RLE+FASTPFOR,TY-Transport,5.079350433512754
RLE+NEWPFOR,TY-Transport,4.8959004524692515
RLE+OPTPFOR,TY-Transport,5.101525845972704
RLE+PFOR,TY-Transport,4.912394733199526
SPRINTZ+FASTPFOR,TY-Transport,4.335912029995609
SPRINTZ+NEWPFOR,TY-Transport,4.295541284396451
SPRINTZ+OPTPFOR,TY-Transport,4.416962659994259
SPRINTZ+PFOR,TY-Transport,4.197069950553644
TS_2DIFF+FASTPFOR,TY-Transport,3.9192203014388527
TS_2DIFF+NEWPFOR,TY-Transport,3.943270782868754
TS_2DIFF+OPTPFOR,TY-Transport,3.946028064747927
TS_2DIFF+PFOR,TY-Transport,4.094662927690609
SPRINTZ+BOS-O,TY-Transport,4.932505100558737
RLE+BOS-O,TY-Transport,5.564794619426135
TS_2DIFF+BOS-A,TY-Transport,4.0967035175934345
RLE+BOS-A,TY-Transport,5.308810792322332
SPRINTZ+BOS-A,TY-Transport,4.681500167199843
TS_2DIFF+BWS,TY-Transport,4.325143916258601
RLE+BWS,TY-Transport,5.448972604081156
SPRINTZ+BWS,TY-Transport,4.77359808836077
TS_2DIFF+BOS-P,TY-Transport,4.837129103587716
SPRINTZ+BOS-P,TY-Transport,4.932249523589589
RLE+BOS-P,TY-Transport,5.56480839589972
BUFF,YZ-Electricity,2.2835517397198384
CHIMP,YZ-Electricity,2.3331024930747932
GORILLA,YZ-Electricity,1.8887175893482855
PLAIN,YZ-Electricity,1.6368274019191094
RLBE,YZ-Electricity,1.22094708866876
RLE,YZ-Electricity,2.127117752288747
SPRINTZ,YZ-Electricity,2.6064083553607085
TS_2DIFF,YZ-Electricity,2.2582951625516703
TS_2DIFF+BOS-O,YZ-Electricity,2.9637123378051466
Elf,YZ-Electricity,1.5871479953090575
RLE+FASTPFOR,YZ-Electricity,2.5330827067669173
RLE+NEWPFOR,YZ-Electricity,2.3542976939203357
RLE+OPTPFOR,YZ-Electricity,2.3876683203401847
RLE+PFOR,YZ-Electricity,1.973252635689184
SPRINTZ+FASTPFOR,YZ-Electricity,2.851057827926657
SPRINTZ+NEWPFOR,YZ-Electricity,2.856698699830413
SPRINTZ+OPTPFOR,YZ-Electricity,2.863172804532578
SPRINTZ+PFOR,YZ-Electricity,2.955263157894737
TS_2DIFF+FASTPFOR,YZ-Electricity,2.2140197152245347
TS_2DIFF+NEWPFOR,YZ-Electricity,1.960620756547042
TS_2DIFF+OPTPFOR,YZ-Electricity,1.960620756547042
TS_2DIFF+PFOR,YZ-Electricity,1.9840989399293285
SPRINTZ+BOS-O,YZ-Electricity,2.9430006551648837
RLE+BOS-O,YZ-Electricity,2.642525655271587
TS_2DIFF+BOS-A,YZ-Electricity,2.968935888962327
RLE+BOS-A,YZ-Electricity,2.496326026551405
SPRINTZ+BOS-A,YZ-Electricity,2.9619752362810465
TS_2DIFF+BWS,YZ-Electricity,2.469337893965307
RLE+BWS,YZ-Electricity,2.6206002463213847
SPRINTZ+BWS,YZ-Electricity,2.597866598123635
TS_2DIFF+BOS-P,YZ-Electricity,2.9637123378051466
SPRINTZ+BOS-P,YZ-Electricity,2.9430006551648837
RLE+BOS-P,YZ-Electricity,2.645811518324607
