Encoding,Dataset,Decoding Time
RLE+PFOR,CS-Sensors,23.09083
SPRINTZ+FASTPFOR,CS-Sensors,33.52458
SPRINTZ+NEWPFOR,CS-Sensors,26.3275
SPRINTZ+OPTPFOR,CS-Sensors,31.43375
SPRINTZ+PFOR,CS-Sensors,38.42708
TS_2DIFF+FASTPFOR,CS-Sensors,24.6375
TS_2DIFF+NEWPFOR,CS-Sensors,30.72125
TS_2DIFF+OPTPFOR,CS-Sensors,19.88834
TS_2DIFF+PFOR,CS-Sensors,56.16417
SPRINTZ+BOS-O,CS-Sensors,45.57922
RLE+BOS-O,CS-Sensors,52.98598
TS_2DIFF+BOS-A,CS-Sensors,283744.64542
RLE+BOS-A,CS-Sensors,38.51815
SPRINTZ+BOS-A,CS-Sensors,40.80882
TS_2DIFF+BWS,CS-Sensors,44.45579
RLE+BWS,CS-Sensors,49.08127
SPRINTZ+BWS,CS-Sensors,48.69385
TS_2DIFF+BOS-P,CS-Sensors,41.25039
SPRINTZ+BOS-P,CS-Sensors,45.85555
RLE+BOS-P,CS-Sensors,43.73102
BUFF,Cyber-Vehicle,0.38601648351648354
CHIMP,Cyber-Vehicle,0.14456043956043957
GORILLA,Cyber-Vehicle,0.08293956043956044
PLAIN,Cyber-Vehicle,5.874313186813187
RLBE,Cyber-Vehicle,24.96879120879121
RLE,Cyber-Vehicle,6.905796703296703
SPRINTZ,Cyber-Vehicle,18.681593406593407
TS_2DIFF,Cyber-Vehicle,6.551153846153847
Elf,Cyber-Vehicle,33.252080758137616
TS_2DIFF+BOS-O,Cyber-Vehicle,22.33134615384615
RLE+FASTPFOR,Cyber-Vehicle,19.217060439560438
RLE+NEWPFOR,Cyber-Vehicle,19.28568681318681
RLE+OPTPFOR,Cyber-Vehicle,19.00186813186813
RLE+PFOR,Cyber-Vehicle,19.523791208791206
SPRINTZ+FASTPFOR,Cyber-Vehicle,26.11381868131868
SPRINTZ+NEWPFOR,Cyber-Vehicle,25.89519230769231
SPRINTZ+OPTPFOR,Cyber-Vehicle,25.667362637362636
SPRINTZ+PFOR,Cyber-Vehicle,27.376401098901102
TS_2DIFF+FASTPFOR,Cyber-Vehicle,18.34934065934066
TS_2DIFF+NEWPFOR,Cyber-Vehicle,17.31346153846154
TS_2DIFF+OPTPFOR,Cyber-Vehicle,17.085604395604395
